unix,low,high,open,close,volume,date,vol_fiat
1637193600,4.56e-05,4.9e-05,4.81e-05,4.66e-05,2240803304485,2021-11-18,104421433.989001
1637107200,4.66e-05,4.99e-05,4.84e-05,4.81e-05,6420568083170,2021-11-17,308829324.80047697
1637020800,4.52e-05,5.36e-05,5.35e-05,4.83e-05,7854994097242,2021-11-16,379396214.8967886
1636934400,5.23e-05,5.6e-05,5.32e-05,5.35e-05,4482733728227,2021-11-15,239826254.4601445
1636848000,5.15e-05,5.65e-05,5.17e-05,5.32e-05,5228084727063,2021-11-14,278134107.4797516
1636761600,5.05e-05,5.29e-05,5.24e-05,5.17e-05,3577438226767,2021-11-13,184953556.3238539
1636675200,5.13e-05,5.7e-05,5.67e-05,5.24e-05,5613863360481,2021-11-12,294166440.0892044
1636588800,4.83e-05,5.8e-05,5.04e-05,5.67e-05,11117231977911,2021-11-11,630347053.1475537
1636502400,4.59e-05,5.52e-05,5.49e-05,5.04e-05,11846225072025,2021-11-10,597049743.63006
1636416000,5.34e-05,5.85e-05,5.52e-05,5.49e-05,7778717640354,2021-11-09,427051598.4554346
1636329600,5.25e-05,5.9e-05,5.7e-05,5.52e-05,10036363072853,2021-11-08,554007241.6214856
1636243200,5.59e-05,5.98e-05,5.86e-05,5.69e-05,5927196512739,2021-11-07,337257481.5748491
1636156800,5.5e-05,6.33e-05,6.28e-05,5.87e-05,12510738338693,2021-11-06,734380340.481279
1636070400,4.41e-05,6.56e-05,4.93e-05,6.28e-05,26191276647042,2021-11-05,1644812173.4342375
1635984000,4.13e-05,6.1e-05,5.4e-05,4.93e-05,34127901849374,2021-11-04,1682505561.174138
1635897600,4.87e-05,6.92e-05,6.91e-05,5.39e-05,22994461532299,2021-11-03,1239401476.5909162
1635811200,6.62e-05,7.31e-05,7.16e-05,6.92e-05,13270230140594,2021-11-02,918299925.7291049
1635724800,6.57e-05,7.5e-05,6.71e-05,7.16e-05,16742641275069,2021-11-01,1198773115.2949405
1635638400,5.81e-05,6.97e-05,6.53e-05,6.71e-05,19427322096478,2021-10-31,1303573312.6736739
1635552000,6.13e-05,7.8e-05,7.48e-05,6.54e-05,19701128514147,2021-10-30,1288453804.825214
1635465600,6.03e-05,7.79e-05,6.88e-05,7.48e-05,25003307291426,2021-10-29,1870247385.398665
1635379200,5.52e-05,8.894e-05,8.111e-05,6.89e-05,54279096950369,2021-10-28,3739829779.880424
1635292800,4.689e-05,8.8e-05,4.798e-05,8.108e-05,63986226059498,2021-10-27,5188003208.904098
1635206400,4.043e-05,4.98e-05,4.23e-05,4.798e-05,31634150643615,2021-10-26,1517806547.8806477
1635120000,3.505e-05,4.364e-05,3.607e-05,4.23e-05,24909275657356,2021-10-25,1053662360.3061588
1635033600,3.201e-05,4.559e-05,3.389e-05,3.607e-05,55155530960840,2021-10-24,1989460001.7574987
1634947200,2.762e-05,3.458e-05,2.794e-05,3.388e-05,18655823025905,2021-10-23,632059284.1176614
1634860800,2.7e-05,2.847e-05,2.747e-05,2.794e-05,6142751018213,2021-10-22,171628463.44887123
1634774400,2.703e-05,2.925e-05,2.923e-05,2.747e-05,7657666352124,2021-10-21,210356094.69284627
1634688000,2.693e-05,2.957e-05,2.803e-05,2.925e-05,8198644533326,2021-10-20,239810352.5997855
1634601600,2.751e-05,2.918e-05,2.867e-05,2.803e-05,7571952235394,2021-10-19,212241821.15809384
1634515200,2.639e-05,2.958e-05,2.775e-05,2.867e-05,16249399760002,2021-10-18,465870291.1192574
1634428800,2.376e-05,2.9e-05,2.572e-05,2.775e-05,11829673573895,2021-10-17,328273441.6755862
1634342400,2.47e-05,2.659e-05,2.526e-05,2.572e-05,10719570393974,2021-10-16,275707350.5330113
1634256000,2.333e-05,2.766e-05,2.742e-05,2.526e-05,26002337404652,2021-10-15,656819042.8415095
1634169600,2.59e-05,2.984e-05,2.91e-05,2.742e-05,13720215083487,2021-10-14,376208297.5892135
1634083200,2.77e-05,3.07e-05,2.906e-05,2.91e-05,13679412443629,2021-10-13,398070902.1096039
1633996800,2.73e-05,3.156e-05,3.066e-05,2.906e-05,21754529450821,2021-10-12,632186625.8408582
1633910400,2.584e-05,3.212e-05,2.616e-05,3.066e-05,30099294306360,2021-10-11,922844363.4329976
1633824000,2.51e-05,2.782e-05,2.671e-05,2.616e-05,16808821854373,2021-10-10,439718779.71039766
1633737600,2.415e-05,3e-05,2.729e-05,2.671e-05,27664393028438,2021-10-09,738915937.789579
1633651200,2.057e-05,2.95e-05,2.292e-05,2.727e-05,53103264344107,2021-10-08,1448126018.6637979
1633564800,2.029e-05,3.7e-05,2.794e-05,2.292e-05,97115417041931,2021-10-07,2225885358.6010585
1633478400,1.662e-05,2.945e-05,1.734e-05,2.794e-05,76256561739497,2021-10-06,2130608335.0015461
1633392000,1.208e-05,2.5e-05,1.348e-05,1.734e-05,70956971611954,2021-10-05,1230393887.7512825
1633305600,8.2e-06,1.54e-05,8.56e-06,1.349e-05,48519921914756,2021-10-04,654533746.6300584
1633219200,7.65e-06,9.04e-06,7.87e-06,8.56e-06,8828728646898,2021-10-03,75573917.21744688
1633132800,7.43e-06,8.26e-06,7.72e-06,7.88e-06,5020252027976,2021-10-02,39559585.98045088
1633046400,7.16e-06,7.82e-06,7.22e-06,7.72e-06,4113210977188,2021-10-01,31753988.743891362
1632960000,7e-06,7.44e-06,7.02e-06,7.21e-06,3342927954876,2021-09-30,24102510.554655958
1632873600,6.91e-06,7.17e-06,6.97e-06,7.02e-06,2504677982674,2021-09-29,17582839.43837148
1632787200,6.82e-06,7.18e-06,6.99e-06,6.98e-06,3024049155494,2021-09-28,21107863.10534812
1632700800,6.9e-06,7.27e-06,7.11e-06,6.98e-06,2944845921478,2021-09-27,20555024.53191644
1632614400,6.82e-06,7.34e-06,7.34e-06,7.11e-06,2947651492617,2021-09-26,20957802.11250687
1632528000,7.11e-06,7.6e-06,7.38e-06,7.34e-06,3528623592227,2021-09-25,25900097.16694618
1632441600,6.75e-06,7.88e-06,7.64e-06,7.39e-06,6678475561916,2021-09-24,49353934.40255924
1632355200,7.09e-06,7.75e-06,7.26e-06,7.65e-06,4500476217476,2021-09-23,34428643.0636914
1632268800,6.84e-06,7.33e-06,6.88e-06,7.26e-06,4517368674647,2021-09-22,32796096.57793722
1632182400,6.59e-06,7.34e-06,7.02e-06,6.88e-06,5539387125062,2021-09-21,38110983.42042656
1632096000,6.79e-06,8.24e-06,8.19e-06,7.02e-06,7359714007413,2021-09-20,51665192.33203926
1632009600,7.36e-06,8.48e-06,7.86e-06,8.17e-06,8445364127353,2021-09-19,68998624.92047401
1631923200,7.61e-06,8.62e-06,8.44e-06,7.86e-06,8832750100865,2021-09-18,69425415.79279889
1631836800,8.1e-06,9.7e-06,8.81e-06,8.43e-06,25611870030486,2021-09-17,215908064.35699698
1631750400,6.52e-06,1.34e-05,6.78e-06,8.81e-06,33971466502853,2021-09-16,299288619.89013493
1631664000,6.6e-06,6.91e-06,6.67e-06,6.78e-06,1354279397992,2021-09-15,9182014.318385761
1631577600,6.44e-06,6.9e-06,6.48e-06,6.67e-06,799842914475,2021-09-14,5334952.23954825
1631491200,6.17e-06,7.1e-06,6.91e-06,6.48e-06,851872051559,2021-09-13,5520130.89410232
1631404800,6.64e-06,7.19e-06,6.78e-06,6.91e-06,859389740690,2021-09-12,5938383.1081679
1631318400,6.73e-06,7.35e-06,7.02e-06,6.77e-06,1663194647440,2021-09-11,11259827.7631688
1631232000,6.76e-06,6e-05,5.67e-05,7.02e-06,3803666278890,2021-09-10,26701737.2778078
1631145600,6e-06,9e-05,1e-05,5.67e-05,2011405203216,2021-09-09,114046675.02234721
